 Date,SPX Close
4/9/2020,"2,789.82"
4/8/2020,"2,749.98"
4/7/2020,"2,659.41"
4/6/2020,"2,663.68"
4/3/2020,"2,488.65"
4/2/2020,"2,526.90"
4/1/2020,"2,470.50"
3/31/2020,"2,584.59"
3/30/2020,"2,626.65"
3/27/2020,"2,541.47"
3/26/2020,"2,630.07"
3/25/2020,"2,475.56"
3/24/2020,"2,447.33"
3/23/2020,"2,237.40"
3/20/2020,"2,304.92"
3/19/2020,"2,409.39"
3/18/2020,"2,398.10"
3/17/2020,"2,529.19"
3/16/2020,"2,386.13"
3/13/2020,"2,711.02"
3/12/2020,"2,480.64"
3/11/2020,"2,741.38"
3/10/2020,"2,882.23"
3/9/2020,"2,746.56"
3/6/2020,"2,972.37"
3/5/2020,"3,023.94"
3/4/2020,"3,130.12"
3/3/2020,"3,003.37"
3/2/2020,"3,090.23"
2/28/2020,"2,954.22"
2/27/2020,"2,978.76"
2/26/2020,"3,116.39"
2/25/2020,"3,128.21"
2/24/2020,"3,225.89"
2/21/2020,"3,337.75"
2/20/2020,"3,373.23"
2/19/2020,"3,386.15"
2/18/2020,"3,370.29"
2/14/2020,"3,380.16"
2/13/2020,"3,373.94"
2/12/2020,"3,379.45"
2/11/2020,"3,357.75"
2/10/2020,"3,352.09"
2/7/2020,"3,327.71"
2/6/2020,"3,345.78"
2/5/2020,"3,334.69"
2/4/2020,"3,296.44"
2/3/2020,"3,247.84"
1/31/2020,"3,226.98"
1/30/2020,"3,282.70"
1/29/2020,"3,275.36"
1/28/2020,"3,280.01"
1/27/2020,"3,245.56"
1/24/2020,"3,295.65"
1/23/2020,"3,324.63"
1/22/2020,"3,324.47"
1/21/2020,"3,320.52"
